"UF";"CódigoDoCliente";"CodigoBanheiro";"LocalBanheiro SetorPredio";"TipoBanheiro";"CodigoEquipamento";"CódigoDoProduto";"HoraLiga";"HoraDesliga";"CodigoAroma";"DescriçaoAroma";"UltimaTroca";"Peso Refil";"SoltarNevoa";"PararNevoa"
"SP";4679;"14563";"LOJA";;;"ARO-25T";"08:00";"19:00";248;"114 - HAVAIANAS";;;"30";"78"
"SP";4680;"14571";"LOJA";;;"ARO-25T";"08:00";"18:00";248;"114 - HAVAIANAS";;;"30";"72"
"SP";4681;"14572";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4682;"14573";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4683;"14574";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4686;"14576";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4687;"14577";"LOJA";;;"ARO-25T";"08:00";"18:00";248;"114 - HAVAIANAS";;;"30";"66"
"SP";4688;"14578";"LOJA";;;"ARO-25T";"08:00";"18:00";248;"114 - HAVAIANAS";;;"42";"90"
"SP";4689;"14579";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4690;"14580";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4691;"14584";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4692;"14588";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
